Borough,Neighborhood,ID,Name,Likes,Rating,Tips
Staten Island,St. George,4bafbddbf964a520df1c3ce3,Golden Krust Caribbean Bakery and Grill,2,6.0,7
Staten Island,New Brighton,4bafbddbf964a520df1c3ce3,Golden Krust Caribbean Bakery and Grill,2,6.0,7
Staten Island,Tompkinsville,4bafbddbf964a520df1c3ce3,Golden Krust Caribbean Bakery and Grill,2,6.0,7
Brooklyn,Ditmas Park,57597fd8498e2922f0ff1b22,Island Express,26,8.5,5
Brooklyn,Ditmas Park,5879815625911e1bb23364a0,Sip unWINE,9,7.5,4
Brooklyn,Ditmas Park,4d69b5bfde28224b66f646be,fisherman's Cove,22,7.8,5
Brooklyn,Ditmas Park,57e84045498e0ee2333a41d4,Suzy's Roti Parlour,15,7.8,5
Brooklyn,Ditmas Park,4cb8984bbac937044c4fde7c,Golden Krust Caribbean Restaurant,4,7.2,1
Brooklyn,Ditmas Park,4e26eebed16486291ba4d622,Jen's Roti Shop,16,7.7,7
Brooklyn,Ditmas Park,5a0f90888264443d4b674cdf,Caribbean Social,16,7.2,8
Brooklyn,Ditmas Park,4bf6df9d4a67c928b49422cf,Golden Krust Caribbean Bakery & Grill,7,6.5,2
Brooklyn,Wingate,4c030121187ec928511cb57b,Ali's Roti Shop,94,8.6,25
Brooklyn,Wingate,595b52522e26800edba7a8b3,PEPPAS JERK CHICKEN,6,7.9,1
Brooklyn,Wingate,5562849a498ea88df7dcc1d3,Crown Heights Royal Cuisine Yard Food,8,7.0,5
Brooklyn,Wingate,4ebc66f88b81967ad17a286a,Fisherman's Cove,6,7.1,6
Brooklyn,Wingate,4c1d79fa8b3aa59349ba9a5f,Golden Krust Caribbean Restaurant,2,6.8,3
Brooklyn,Wingate,4bc3edc04cdfc9b61c1c9821,Golden Krust Caribbean Restaurant,4,6.0,7
Brooklyn,Wingate,0,0,0,0.0,0
Brooklyn,Rugby,595b52522e26800edba7a8b3,PEPPAS JERK CHICKEN,6,7.9,1
Brooklyn,Rugby,4e9ecdd9722edab8d2cdf221,Brucee's Patties,18,8.1,7
Brooklyn,Rugby,4bc56cea5935c9b68ef2a5d2,Golden Krust Caribbean Restaurant,4,7.2,11
Brooklyn,Rugby,4b464895f964a520791c26e3,Best Bites,25,7.5,10
Brooklyn,Rugby,4c8ac3c852a98cfa25c12fe9,Trinidad Roti House & Bakery,5,7.8,6
Brooklyn,Rugby,4bc4c577abf49521628bc593,C & J Jamaican Restaurant,47,6.8,41
Brooklyn,Rugby,4d8e436cca75b60c194afba8,Golden Krust Caribbean Restaurant,3,7.0,1
Brooklyn,Rugby,4cbdab3f43ec6dcbf554b831,Linda's Restaurant,5,5.6,2
Brooklyn,Rugby,4e72a0e5aeb74a608a8735ec,Silver Krust  Restaurant,15,5.9,1
Brooklyn,Remsen Village,4e9ecdd9722edab8d2cdf221,Brucee's Patties,18,8.1,7
Brooklyn,Remsen Village,4d8e436cca75b60c194afba8,Golden Krust Caribbean Restaurant,3,7.0,1
Brooklyn,Remsen Village,4505314df964a520e7381fe3,Footprints Cafe,237,7.7,115
Brooklyn,Remsen Village,4ef520a36c25074226ff0101,Golden Krust Caribbean Bakery and Grill,1,7.3,1
Brooklyn,Remsen Village,4ed30bce02d5feaa1f657f21,Golden Krust Caribbean Bakery and Grill,4,6.6,2
Brooklyn,Remsen Village,4e72a0e5aeb74a608a8735ec,Silver Krust  Restaurant,15,5.9,1
Brooklyn,Remsen Village,4cbdab3f43ec6dcbf554b831,Linda's Restaurant,5,5.6,2
Brooklyn,New Lots,4c0c4f79bbc676b036f74cd5,Flava II Restaurant & Bakery,10,7.2,5
Brooklyn,New Lots,4bd30bf6b221c9b699b2d8d0,Golden Krust Caribbean Bakery and Grill,3,6.3,3
